,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,predict
0,1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,1256.044
1,2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,131,670,801,1103.112
2,3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,120,1229,1349,1347.117
3,4,2011-01-04,1,0,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,108,1454,1562,1525.1775666666667
4,5,2011-01-05,1,0,1,0,3,1,1,0.22695700000000002,0.22926999999999997,0.436957,0.1869,82,1518,1600,1540.024542857143
5,6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,88,1518,1606,1560.185
6,7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,148,1362,1510,1481.7416428571428
7,8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,1095.138
8,9,2011-01-09,1,0,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,54,768,822,1013.376
9,10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.15088800000000002,0.482917,0.22326700000000002,41,1280,1321,1302.3786666666665
10,11,2011-01-11,1,0,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,43,1220,1263,1218.7686666666666
11,12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,1247.1666666666665
12,13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,38,1368,1406,1285.8310666666666
13,14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,1388.5055666666667
14,15,2011-01-15,1,0,1,0,6,0,2,0.23333299999999998,0.248112,0.49875,0.15796300000000002,222,1026,1248,1322.0218095238095
15,16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,1292.1638095238095
16,17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,1151.8728095238096
17,18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,9,674,683,873.838
18,19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,78,1572,1650,1633.9113333333335
19,20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,1797.2389206349208
20,21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,1425.6773999999998
21,22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,1162.776
22,23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.09883910000000001,0.436522,0.2466,150,836,986,1088.684
23,24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,86,1330,1416,1344.199
24,25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,1342.2551428571428
25,26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,720.46
26,27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,765.324
27,28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,38,1129,1167,1124.093
28,29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,123,975,1098,1117.9091428571428
29,30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,1137.52
30,31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,1441.3731428571427
31,32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,47,1313,1360,1541.686
32,33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,1608.711
33,34,2011-02-03,1,0,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,61,1489,1550,1623.5626666666667
34,35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,88,1620,1708,1654.918
35,36,2011-02-05,1,0,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,100,905,1005,1196.75
36,37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,1900.6056666666666
37,38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.045408300000000006,120,1592,1712,1775.872
38,39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,1541.2736666666665
39,40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,1558.0981666666667
40,41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.14954800000000001,0.437391,0.221935,47,1491,1538,1561.8396666666667
41,42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,1702.8533333333332
42,43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,288,1184,1472,1602.0326666666667
43,44,2011-02-13,1,0,2,0,0,0,1,0.31652199999999997,0.324113,0.457391,0.260883,397,1192,1589,1728.8010000000002
44,45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,2010.31
45,46,2011-02-15,1,0,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,140,1675,1815,1822.4592952380951
46,47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,218,1897,2115,2030.4862063492064
47,48,2011-02-17,1,0,2,0,4,1,1,0.43583299999999997,0.428658,0.505,0.230104,259,2216,2475,2565.87
48,49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,3076.25
49,50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,1844.926
50,51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,1854.8543111111112
51,52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,1374.4863333333333
52,53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1518.0403333333334
53,54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.24571700000000002,0.423043,0.094113,139,1778,1917,1815.853
54,55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,1762.3628285714285
55,56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,1581.654
56,57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.18657100000000001,424,1545,1969,1732.6605396825396
57,58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,2133.642
58,59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.8763639999999999,0.289686,81,1365,1446,1598.5433333333335
59,60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,1900.7482
60,61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.30783299999999997,231,1903,2134,2123.144761904762
61,62,2011-03-03,1,0,3,0,4,1,1,0.19833299999999998,0.200133,0.318333,0.225754,123,1562,1685,1762.886
62,63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,1931.460373015873
63,64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,2039.493
64,65,2011-03-06,1,0,3,0,0,0,2,0.37652199999999997,0.366252,0.948261,0.343287,114,491,605,1787.028
65,66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1861.4772952380952
66,67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,2110.641295238095
67,68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1897.8078666666668
68,69,2011-03-10,1,0,3,0,4,1,3,0.38909099999999996,0.385668,0.0,0.26187699999999997,46,577,623,1967.7253333333333
69,70,2011-03-11,1,0,3,0,5,1,2,0.31652199999999997,0.305,0.649565,0.23296999999999998,247,1730,1977,1979.324411111111
70,71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2146.6844285714283
71,72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.5273909999999999,0.270604,982,1435,2417,2369.933333333333
72,73,2011-03-14,1,0,3,0,1,1,1,0.32521700000000003,0.332,0.496957,0.136926,359,1687,2046,2094.3494285714287
73,74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,1983.056377777778
74,75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693000000000003,0.776522,0.20311700000000002,321,1871,2192,2041.963
75,76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2577.369
76,77,2011-03-18,1,0,3,0,5,1,1,0.54,0.5270090000000001,0.525217,0.231017,884,2355,3239,3339.61
77,78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.37916700000000003,0.368167,1424,1693,3117,3335.984
78,79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.20772100000000002,1047,1424,2471,2335.605
79,80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2216.3521333333333
80,81,2011-03-22,2,0,3,0,2,1,1,0.44166700000000003,0.44064200000000003,0.624583,0.22575,460,2243,2703,2822.954
81,82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.23426100000000002,203,1918,2121,1997.1967333333334
82,83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.24378699999999998,166,1699,1865,1903.3801619047617
83,84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2222.381777777778
84,85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2238.247111111111
85,86,2011-03-27,2,0,3,0,0,0,2,0.25304299999999996,0.250339,0.493913,0.1843,472,1221,1693,1844.376
86,87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.25757399999999997,0.302174,0.212204,222,1806,2028,2114.197111111111
87,88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.31416700000000003,0.226996,317,2108,2425,2361.97
88,89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.17288800000000001,168,1368,1536,1811.409
89,90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,1531.7086666666664
90,91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2194.3136666666664
91,92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.19714600000000002,898,1354,2252,2260.9611
92,93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,3081.31
93,94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,3624.931866666667
94,95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2121.074
95,96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2915.884
96,97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.16231199999999998,571,2570,3141,3184.135
97,98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,1757.2631999999999
98,99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.34152899999999997,0.8775,0.13308299999999998,879,1576,2455,2437.62
99,100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2837.696
100,101,2011-04-11,2,0,4,0,1,1,2,0.5956520000000001,0.565217,0.716956,0.324474,855,2493,3348,3698.5698303030304
101,102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2660.123333333333
102,103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.25061700000000003,209,1953,2162,2182.2483333333334
103,104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,3549.905878787879
104,105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,3265.637
105,106,2011-04-16,2,0,4,0,6,0,3,0.43083299999999997,0.425492,0.888333,0.340808,121,674,795,1274.82
106,107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,3814.3563333333336
107,108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.16356700000000002,669,2760,3429,3907.568433159471
108,109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.48925799999999997,0.665833,0.157971,409,2795,3204,3364.6945833333334
109,110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,4014.8701789449115
110,111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,4094.4568333333336
111,112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,1881.833
112,113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,3566.0512285714285
113,114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,3828.5352922077923
114,115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,4081.940539598997
115,116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,4291.893915800866
116,117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,3621.105292207792
117,118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.32090799999999997,569,3489,4058,3973.121214430015
118,119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,4466.6318666666675
119,120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,4860.37
120,121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.10635399999999999,1138,2213,3351,3483.8752000000004
121,122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,4390.74359680842
122,123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,4273.509760939061
123,124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,2615.164
124,125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.44416700000000003,0.295392,614,3819,4433,4326.470971416123
125,126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,4613.466519572868
126,127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,4832.051934576165
127,128,2011-05-08,2,0,5,0,0,0,1,0.5283329999999999,0.518933,0.631667,0.0746375,1401,2932,4333,4524.539490508804
128,129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.17600000000000002,664,3698,4362,4556.734859559412
129,130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.11567100000000001,694,4109,4803,4773.291790793589
130,131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.12064200000000001,550,3632,4182,4396.944890958872
131,132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,4697.362701843309
132,133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,3941.4544604617604
133,134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,3420.5986666666663
134,135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,4323.2061063492065
135,136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,4477.5038796011195
136,137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,4020.7357541125543
137,138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,3911.045575396825
138,139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.10821300000000002,735,3840,4575,4296.577801587301
139,140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,4784.645838167387
140,141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,5416.29165030303
141,142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,4623.380095917089
142,143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,4253.404542757243
143,144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,4383.152477073228
144,145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.15423299999999998,740,4238,4978,4839.304418872504
145,146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.19964200000000001,758,3919,4677,4626.030751701942
146,147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,4730.665998646676
147,148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.23009200000000002,2001,2757,4758,4834.172347491399
148,149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.21393800000000002,2355,2433,4788,4551.046804258782
149,150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,4303.79430162981
150,151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,4182.878024155403
151,152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,4212.564790209791
152,153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.29228699999999996,736,4232,4968,4923.699214814814
153,154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,5184.371868148148
154,155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,5264.31535148148
155,156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,4699.666158346883
156,157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,4643.063150770104
157,158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,4699.109237169538
158,159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.6220829999999999,0.136817,676,3725,4401,4429.946715861908
159,160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,4084.4216989457996
160,161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.14055399999999998,815,3771,4586,4635.836496108358
161,162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,4959.828283068784
162,163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.16356700000000002,1467,2993,4460,4565.604877299315
163,164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,4930.361935172736
164,165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,4909.470933473718
165,166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.16791199999999998,769,4411,5180,5095.551309054408
166,167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.20647100000000002,545,3222,3767,4013.7569002223
167,168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,4832.151579151504
168,169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.11940799999999999,1807,3312,5119,5108.433066161617
169,170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,4688.058872921197
170,171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,4222.432725457849
171,172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,4243.8031602175615
172,173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,4568.744969192352
173,174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,4517.205597408447
174,175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,4837.131335850099
175,176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,5171.783983492061
176,177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.09453330000000001,1920,3385,5305,5160.154769885246
177,178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.10758800000000002,854,3854,4708,4634.551910200884
178,179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,4586.547538629142
179,180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,5101.799765048677
180,181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.18531199999999998,1027,4488,5515,5017.99537821618
181,182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.10260799999999999,1246,4116,5362,5261.266833333333
