"dteday","weathersit","season","mnth","temp","hum","windspeed","cnt","predict_cnt"
"2011-01-01",2,1,1,0.344167,0.805833,0.160446,985,1374
"2011-01-02",2,1,1,0.363478,0.696087,0.248539,801,1362
"2011-01-03",1,1,1,0.196364,0.437273,0.248309,1349,1464
"2011-01-04",1,1,1,0.2,0.590435,0.160296,1562,1547
"2011-01-05",1,1,1,0.226957,0.436957,0.1869,1600,1611
"2011-01-06",1,1,1,0.204348,0.518261,0.0895652,1606,1556
"2011-01-07",2,1,1,0.196522,0.498696,0.168726,1510,1602
"2011-01-08",2,1,1,0.165,0.535833,0.266804,959,1468
"2011-01-09",1,1,1,0.138333,0.434167,0.36195,822,1164
"2011-01-10",1,1,1,0.150833,0.482917,0.223267,1321,1457
"2011-01-11",2,1,1,0.169091,0.686364,0.122132,1263,1356
"2011-01-12",1,1,1,0.172727,0.599545,0.304627,1162,1368
"2011-01-13",1,1,1,0.165,0.470417,0.301,1406,1490
"2011-01-14",1,1,1,0.16087,0.537826,0.126548,1421,1528
"2011-01-15",2,1,1,0.233333,0.49875,0.157963,1248,1563
"2011-01-16",1,1,1,0.231667,0.48375,0.188433,1204,1391
"2011-01-17",2,1,1,0.175833,0.5375,0.194017,1000,1327
"2011-01-18",2,1,1,0.216667,0.861667,0.146775,683,1111
"2011-01-19",2,1,1,0.292174,0.741739,0.208317,1650,1695
"2011-01-20",2,1,1,0.261667,0.538333,0.195904,1927,1799
"2011-01-21",1,1,1,0.1775,0.457083,0.353242,1543,1536
"2011-01-22",1,1,1,0.0591304,0.4,0.17197,981,1583
"2011-01-23",1,1,1,0.0965217,0.436522,0.2466,986,1227
"2011-01-24",1,1,1,0.0973913,0.491739,0.15833,1416,1455
"2011-01-25",2,1,1,0.223478,0.616957,0.129796,1985,1663
"2011-01-26",3,1,1,0.2175,0.8625,0.29385,506,909
"2011-01-27",1,1,1,0.195,0.6875,0.113837,431,1190
"2011-01-28",2,1,1,0.203478,0.793043,0.1233,1167,1451
"2011-01-29",1,1,1,0.196522,0.651739,0.145365,1098,1464
"2011-01-30",1,1,1,0.216522,0.722174,0.0739826,1096,1304
"2011-01-31",2,1,1,0.180833,0.60375,0.187192,1501,1394
"2011-02-01",2,1,2,0.192174,0.829565,0.053213,1360,1475
"2011-02-02",2,1,2,0.26,0.775417,0.264308,1526,1646
"2011-02-03",1,1,2,0.186957,0.437826,0.277752,1550,1749
"2011-02-04",2,1,2,0.211304,0.585217,0.127839,1708,1706
"2011-02-05",2,1,2,0.233333,0.929167,0.161079,1005,1282
"2011-02-06",1,1,2,0.285833,0.568333,0.1418,1623,1842
"2011-02-07",1,1,2,0.271667,0.738333,0.0454083,1712,1907
"2011-02-08",1,1,2,0.220833,0.537917,0.36195,1530,1577
"2011-02-09",2,1,2,0.134783,0.494783,0.188839,1605,1645
"2011-02-10",1,1,2,0.144348,0.437391,0.221935,1538,1726
"2011-02-11",1,1,2,0.189091,0.506364,0.10855,1746,1748
"2011-02-12",1,1,2,0.2225,0.544167,0.203367,1472,1618
"2011-02-13",1,1,2,0.316522,0.457391,0.260883,1589,1810
"2011-02-14",1,1,2,0.415,0.375833,0.417908,1913,2178
"2011-02-15",1,1,2,0.266087,0.314348,0.291374,1815,1892
"2011-02-16",1,1,2,0.318261,0.423478,0.251791,2115,2003
"2011-02-17",1,1,2,0.435833,0.505,0.230104,2475,2638
"2011-02-18",1,1,2,0.521667,0.516667,0.264925,2927,3170
"2011-02-19",1,1,2,0.399167,0.187917,0.507463,1635,1971
"2011-02-20",1,1,2,0.285217,0.407826,0.223235,1812,1901
"2011-02-21",2,1,2,0.303333,0.605,0.307846,1107,1471
"2011-02-22",1,1,2,0.182222,0.577778,0.195683,1450,1589
"2011-02-23",1,1,2,0.221739,0.423043,0.094113,1917,1852
"2011-02-24",2,1,2,0.295652,0.697391,0.250496,1807,1809
"2011-02-25",2,1,2,0.364348,0.712174,0.346539,1461,1719
"2011-02-26",1,1,2,0.2825,0.537917,0.186571,1969,1853
"2011-02-27",1,1,2,0.343478,0.68,0.125248,2402,2142
"2011-02-28",2,1,2,0.407273,0.876364,0.289686,1446,1599
"2011-03-01",1,1,3,0.266667,0.535,0.216425,1851,2022
"2011-03-02",1,1,3,0.335,0.449583,0.307833,2134,2178
"2011-03-03",1,1,3,0.198333,0.318333,0.225754,1685,1921
"2011-03-04",2,1,3,0.261667,0.610417,0.203346,1944,2038
"2011-03-05",2,1,3,0.384167,0.789167,0.251871,2077,2095
"2011-03-06",2,1,3,0.376522,0.948261,0.343287,605,1326
"2011-03-07",1,1,3,0.261739,0.551304,0.341352,1872,1913
"2011-03-08",1,1,3,0.2925,0.420833,0.12065,2133,2227
"2011-03-09",2,1,3,0.295833,0.775417,0.22015,1891,1931
"2011-03-10",3,1,3,0.389091,0,0.261877,623,2283
"2011-03-11",2,1,3,0.316522,0.649565,0.23297,1977,2175
"2011-03-12",1,1,3,0.329167,0.594583,0.220775,2132,2169
"2011-03-13",1,1,3,0.384348,0.527391,0.270604,2417,2390
"2011-03-14",1,1,3,0.325217,0.496957,0.136926,2046,2175
"2011-03-15",2,1,3,0.317391,0.655652,0.184309,2056,2105
"2011-03-16",2,1,3,0.365217,0.776522,0.203117,2192,2094
"2011-03-17",1,1,3,0.415,0.602917,0.209579,2744,2632
"2011-03-18",1,1,3,0.54,0.525217,0.231017,3239,3412
"2011-03-19",1,1,3,0.4725,0.379167,0.368167,3117,3220
"2011-03-20",1,1,3,0.3325,0.47375,0.207721,2471,2294
"2011-03-21",2,2,3,0.430435,0.737391,0.288783,2077,2406
"2011-03-22",1,2,3,0.441667,0.624583,0.22575,2703,2947
"2011-03-23",2,2,3,0.346957,0.839565,0.234261,2121,2190
"2011-03-24",2,2,3,0.285,0.805833,0.243787,1865,2031
"2011-03-25",1,2,3,0.264167,0.495,0.230725,2210,2336
"2011-03-26",1,2,3,0.265833,0.394167,0.209571,2496,2427
"2011-03-27",2,2,3,0.253043,0.493913,0.1843,1693,2010
"2011-03-28",1,2,3,0.264348,0.302174,0.212204,2028,2275
"2011-03-29",1,2,3,0.3025,0.314167,0.226996,2425,2466
"2011-03-30",2,2,3,0.3,0.646667,0.172888,1536,2063
"2011-03-31",3,2,3,0.268333,0.918333,0.217646,1685,1752
"2011-04-01",2,2,4,0.3,0.68625,0.258708,2227,2296
"2011-04-02",2,2,4,0.315,0.65375,0.197146,2252,2472
"2011-04-03",1,2,4,0.378333,0.48,0.182213,3249,3188
"2011-04-04",1,2,4,0.573333,0.42625,0.385571,3115,3810
"2011-04-05",2,2,4,0.414167,0.642083,0.388067,1795,2996
"2011-04-06",1,2,4,0.390833,0.470833,0.263063,2808,3122
"2011-04-07",1,2,4,0.4375,0.602917,0.162312,3141,3724
"2011-04-08",2,2,4,0.335833,0.83625,0.226992,1471,2019
"2011-04-09",2,2,4,0.3425,0.8775,0.133083,2455,2501
"2011-04-10",2,2,4,0.426667,0.8575,0.146767,2895,2884
"2011-04-11",2,2,4,0.595652,0.716956,0.324474,3348,3551
"2011-04-12",2,2,4,0.5025,0.739167,0.274879,2034,2920
"2011-04-13",2,2,4,0.4125,0.819167,0.250617,2162,2438
"2011-04-14",1,2,4,0.4675,0.540417,0.1107,3267,4292
"2011-04-15",1,2,4,0.446667,0.67125,0.226375,3126,3603
"2011-04-16",3,2,4,0.430833,0.888333,0.340808,795,1382
"2011-04-17",1,2,4,0.456667,0.479583,0.303496,3744,3763
"2011-04-18",1,2,4,0.5125,0.5425,0.163567,3429,3808
"2011-04-19",2,2,4,0.505833,0.665833,0.157971,3204,3559
"2011-04-20",1,2,4,0.595,0.614167,0.241925,3944,4187
"2011-04-21",1,2,4,0.459167,0.407083,0.325258,4189,4034
"2011-04-22",2,2,4,0.336667,0.729583,0.219521,1683,2118
"2011-04-23",2,2,4,0.46,0.887917,0.230725,4036,3486
"2011-04-24",2,2,4,0.581667,0.810833,0.192175,4191,3838
"2011-04-25",1,2,4,0.606667,0.776667,0.185333,4073,3938
"2011-04-26",1,2,4,0.631667,0.729167,0.3265,4400,3999
"2011-04-27",2,2,4,0.62,0.835417,0.3122,3872,3533
"2011-04-28",2,2,4,0.6175,0.700833,0.320908,4058,3820
"2011-04-29",1,2,4,0.51,0.457083,0.240063,4595,4463
"2011-04-30",1,2,4,0.4725,0.503333,0.235075,5312,4758
"2011-05-01",2,2,5,0.451667,0.762083,0.106354,3351,3576
"2011-05-02",2,2,5,0.549167,0.73,0.183454,4401,4358
"2011-05-03",2,2,5,0.616667,0.697083,0.342667,4451,3974
"2011-05-04",2,2,5,0.414167,0.737083,0.328996,2633,2858
"2011-05-05",1,2,5,0.459167,0.444167,0.295392,4433,4368
"2011-05-06",1,2,5,0.479167,0.59,0.228246,4608,4675
"2011-05-07",1,2,5,0.52,0.54125,0.16045,4714,4869
"2011-05-08",1,2,5,0.528333,0.631667,0.0746375,4333,4610
"2011-05-09",1,2,5,0.5325,0.58875,0.176,4362,4480
"2011-05-10",1,2,5,0.5325,0.489167,0.115671,4803,4905
"2011-05-11",1,2,5,0.5425,0.632917,0.120642,4182,4927
"2011-05-12",1,2,5,0.535,0.7475,0.189667,4864,4703
"2011-05-13",2,2,5,0.5125,0.863333,0.179725,4105,4042
"2011-05-14",2,2,5,0.520833,0.9225,0.13495,3409,3647
"2011-05-15",2,2,5,0.5625,0.867083,0.152979,4553,4365
"2011-05-16",1,2,5,0.5775,0.787917,0.126871,3958,4228
"2011-05-17",2,2,5,0.561667,0.837917,0.277354,4123,3914
"2011-05-18",2,2,5,0.55,0.87,0.201492,3855,3946
"2011-05-19",2,2,5,0.530833,0.829583,0.108213,4575,4357
"2011-05-20",1,2,5,0.536667,0.719583,0.125013,4917,4829
"2011-05-21",1,2,5,0.6025,0.626667,0.12065,5805,5333
"2011-05-22",1,2,5,0.604167,0.749583,0.148008,4660,4577
"2011-05-23",2,2,5,0.631667,0.81,0.233842,4274,4135
"2011-05-24",2,2,5,0.66,0.740833,0.207092,4492,4350
"2011-05-25",1,2,5,0.660833,0.69625,0.154233,4978,4840
"2011-05-26",1,2,5,0.708333,0.6775,0.199642,4677,4650
"2011-05-27",1,2,5,0.681667,0.65375,0.240679,4679,4739
"2011-05-28",1,2,5,0.655833,0.729583,0.230092,4758,4812
"2011-05-29",1,2,5,0.6675,0.81875,0.213938,4788,4343
"2011-05-30",1,2,5,0.733333,0.685,0.131225,4098,4599
"2011-05-31",1,2,5,0.775,0.636667,0.111329,3982,4731
"2011-06-01",2,2,6,0.764167,0.677083,0.207092,3974,4167
"2011-06-02",1,2,6,0.715,0.305,0.292287,4968,4942
"2011-06-03",1,2,6,0.62,0.354167,0.253121,5312,5107
"2011-06-04",1,2,6,0.635,0.45625,0.123142,5342,5348
"2011-06-05",2,2,6,0.648333,0.6525,0.138692,4906,4708
"2011-06-06",1,2,6,0.678333,0.6,0.121896,4548,4669
"2011-06-07",1,2,6,0.7075,0.597917,0.187808,4833,4815
"2011-06-08",1,2,6,0.775833,0.622083,0.136817,4401,4552
"2011-06-09",2,2,6,0.808333,0.568333,0.149883,3915,4179
"2011-06-10",1,2,6,0.755,0.605,0.140554,4586,4652
"2011-06-11",1,2,6,0.725,0.654583,0.15485,4966,4947
"2011-06-12",1,2,6,0.6925,0.747917,0.163567,4460,4572
"2011-06-13",1,2,6,0.635,0.494583,0.30535,5020,4888
"2011-06-14",1,2,6,0.604167,0.507083,0.269283,4891,5012
"2011-06-15",1,2,6,0.626667,0.471667,0.167912,5180,5119
"2011-06-16",2,2,6,0.628333,0.688333,0.206471,3767,4119
"2011-06-17",1,2,6,0.649167,0.735833,0.143029,4844,4791
"2011-06-18",1,2,6,0.696667,0.670417,0.119408,5119,5097
"2011-06-19",2,2,6,0.699167,0.666667,0.102,4744,4690
"2011-06-20",2,2,6,0.635,0.74625,0.155475,4010,4238
"2011-06-21",2,3,6,0.680833,0.770417,0.171025,4835,4293
"2011-06-22",1,3,6,0.733333,0.7075,0.172262,4507,4655
"2011-06-23",2,3,6,0.728333,0.703333,0.238804,4790,4467
"2011-06-24",1,3,6,0.724167,0.573333,0.222025,4991,4884
"2011-06-25",1,3,6,0.695,0.483333,0.209571,5202,5177
"2011-06-26",1,3,6,0.68,0.513333,0.0945333,5305,5134
"2011-06-27",2,3,6,0.6825,0.658333,0.107588,4708,4644
"2011-06-28",1,3,6,0.744167,0.634167,0.144283,4648,4680
"2011-06-29",1,3,6,0.728333,0.497917,0.261821,5225,5073
"2011-06-30",1,3,6,0.696667,0.434167,0.185312,5515,5186
"2011-07-01",1,3,7,0.7225,0.39625,0.102608,5362,5188
"2011-07-02",1,3,7,0.738333,0.444583,0.115062,5119,5161
"2011-07-03",2,3,7,0.716667,0.6825,0.228858,4649,4529
"2011-07-04",2,3,7,0.726667,0.637917,0.0814792,6043,4740
"2011-07-05",1,3,7,0.746667,0.590417,0.126258,4665,4698
"2011-07-06",1,3,7,0.72,0.743333,0.149883,4629,4638
"2011-07-07",1,3,7,0.75,0.65125,0.1592,4592,4635
"2011-07-08",2,3,7,0.709167,0.757917,0.225129,4040,4166
"2011-07-09",1,3,7,0.733333,0.609167,0.167912,5336,5100
"2011-07-10",1,3,7,0.7475,0.578333,0.183471,4881,4768
"2011-07-11",1,3,7,0.7625,0.635833,0.282337,4086,4401
"2011-07-12",1,3,7,0.794167,0.559167,0.200254,4258,4498
"2011-07-13",1,3,7,0.746667,0.631667,0.146133,4342,4578
"2011-07-14",1,3,7,0.680833,0.47625,0.240667,5084,5000
"2011-07-15",1,3,7,0.663333,0.59125,0.182833,5538,5151
"2011-07-16",1,3,7,0.686667,0.585,0.208342,5923,5259
"2011-07-17",1,3,7,0.719167,0.604167,0.245033,5302,4993
"2011-07-18",1,3,7,0.746667,0.65125,0.215804,4458,4482
"2011-07-19",1,3,7,0.776667,0.650417,0.1306,4541,4567
"2011-07-20",1,3,7,0.768333,0.707083,0.113817,4332,4502
"2011-07-21",2,3,7,0.815,0.69125,0.222021,3784,4099
"2011-07-22",1,3,7,0.848333,0.580417,0.1331,3387,3973
"2011-07-23",1,3,7,0.849167,0.5,0.131221,3285,4001
"2011-07-24",1,3,7,0.83,0.550833,0.169171,3606,4306
"2011-07-25",1,3,7,0.743333,0.757083,0.0908083,3840,4218
"2011-07-26",1,3,7,0.771667,0.540833,0.200258,4590,4599
"2011-07-27",1,3,7,0.775,0.402917,0.183463,4656,4910
"2011-07-28",1,3,7,0.779167,0.583333,0.178479,4390,4676
"2011-07-29",1,3,7,0.838333,0.5425,0.174138,3846,4238
"2011-07-30",1,3,7,0.804167,0.465833,0.168537,4475,4623
"2011-07-31",1,3,7,0.805833,0.480833,0.164813,4302,4528
"2011-08-01",1,3,8,0.771667,0.550833,0.156717,4266,4473
"2011-08-02",1,3,8,0.783333,0.49125,0.20585,4845,4733
"2011-08-03",2,3,8,0.731667,0.6575,0.135583,3574,4629
"2011-08-04",2,3,8,0.71,0.7575,0.19715,4576,4297
"2011-08-05",1,3,8,0.710833,0.630833,0.184696,4866,4854
"2011-08-06",2,3,8,0.716667,0.755,0.22825,4294,4221
"2011-08-07",1,3,8,0.7425,0.752917,0.201487,3785,4181
"2011-08-08",1,3,8,0.765,0.592083,0.192175,4326,4466
"2011-08-09",1,3,8,0.775,0.570417,0.151121,4602,4681
"2011-08-10",1,3,8,0.766667,0.424167,0.200258,4780,4871
"2011-08-11",1,3,8,0.7175,0.42375,0.164796,4792,4946
"2011-08-12",1,3,8,0.708333,0.415,0.125621,4905,5122
"2011-08-13",2,3,8,0.685833,0.729583,0.211454,4150,4242
"2011-08-14",2,3,8,0.676667,0.8175,0.222633,3820,3848
"2011-08-15",1,3,8,0.665833,0.712083,0.208954,4338,4420
"2011-08-16",1,3,8,0.700833,0.578333,0.236329,4725,4792
"2011-08-17",1,3,8,0.723333,0.575417,0.143667,4694,4811
"2011-08-18",1,3,8,0.711667,0.654583,0.233208,3805,4323
"2011-08-19",2,3,8,0.685,0.722917,0.139308,4153,4373
"2011-08-20",1,3,8,0.6975,0.674167,0.104467,5191,5117
"2011-08-21",1,3,8,0.710833,0.77,0.248754,3873,4086
"2011-08-22",1,3,8,0.691667,0.47,0.27675,4758,4705
"2011-08-23",1,3,8,0.640833,0.455417,0.146763,5895,5322
"2011-08-24",1,3,8,0.673333,0.605,0.253108,5130,4948
"2011-08-25",2,3,8,0.684167,0.771667,0.210833,3542,3877
"2011-08-26",1,3,8,0.7,0.76125,0.0839625,4661,4634
"2011-08-27",2,3,8,0.68,0.85,0.375617,1115,2372
"2011-08-28",1,3,8,0.707059,0.561765,0.304659,4334,4546
"2011-08-29",1,3,8,0.636667,0.554583,0.159825,4634,4639
"2011-08-30",1,3,8,0.639167,0.548333,0.125008,5204,5095
"2011-08-31",1,3,8,0.656667,0.597917,0.0833333,5058,5026
"2011-09-01",1,3,9,0.655,0.639167,0.141796,5115,4964
"2011-09-02",2,3,9,0.643333,0.727083,0.139929,4727,4557
"2011-09-03",1,3,9,0.669167,0.716667,0.185325,4484,4765
"2011-09-04",1,3,9,0.709167,0.742083,0.206467,4940,4711
"2011-09-05",2,3,9,0.673333,0.790417,0.212696,3351,3804
"2011-09-06",3,3,9,0.54,0.886957,0.343943,2710,2627
"2011-09-07",3,3,9,0.599167,0.917083,0.0970208,1996,2628
"2011-09-08",3,3,9,0.633913,0.939565,0.192748,1842,2538
"2011-09-09",2,3,9,0.65,0.897917,0.124379,3544,3966
"2011-09-10",1,3,9,0.66,0.75375,0.153608,5345,4706
"2011-09-11",1,3,9,0.653333,0.71375,0.115054,5046,4881
"2011-09-12",1,3,9,0.644348,0.692174,0.088913,4713,4744
"2011-09-13",1,3,9,0.650833,0.7125,0.141804,4763,4790
"2011-09-14",1,3,9,0.673333,0.697083,0.1673,4785,4778
"2011-09-15",2,3,9,0.5775,0.709167,0.271146,3659,4017
"2011-09-16",2,3,9,0.469167,0.590417,0.164183,4760,4518
"2011-09-17",2,3,9,0.491667,0.718333,0.189675,4511,4288
"2011-09-18",1,3,9,0.5075,0.695,0.178483,4274,4542
"2011-09-19",2,3,9,0.549167,0.69,0.151742,4539,4502
"2011-09-20",2,3,9,0.561667,0.88125,0.134954,3641,3868
"2011-09-21",2,3,9,0.595,0.9,0.0964042,4352,3949
"2011-09-22",2,3,9,0.628333,0.902083,0.128125,4795,4245
"2011-09-23",2,4,9,0.609167,0.9725,0.0783667,2395,4008
"2011-09-24",2,4,9,0.606667,0.8625,0.0783833,5423,4809
"2011-09-25",2,4,9,0.634167,0.845,0.0503792,5010,4781
"2011-09-26",2,4,9,0.649167,0.848333,0.1107,4630,4505
"2011-09-27",2,4,9,0.636667,0.885417,0.118171,4120,4173
"2011-09-28",2,4,9,0.635,0.84875,0.148629,3907,4115
"2011-09-29",1,4,9,0.616667,0.699167,0.172883,4839,4799
"2011-09-30",1,4,9,0.564167,0.6475,0.206475,5202,5007
"2011-10-01",2,4,10,0.41,0.75375,0.292296,2429,2957
"2011-10-02",2,4,10,0.356667,0.791667,0.222013,2918,3101
"2011-10-03",2,4,10,0.384167,0.760833,0.0833458,3570,3628
"2011-10-04",1,4,10,0.484167,0.71,0.205854,4456,4471
"2011-10-05",1,4,10,0.538333,0.647917,0.17725,4826,4836
"2011-10-06",1,4,10,0.494167,0.620833,0.134954,4765,4732
"2011-10-07",1,4,10,0.510833,0.684167,0.0223917,4985,4984
"2011-10-08",1,4,10,0.521667,0.70125,0.0454042,5409,5145
"2011-10-09",1,4,10,0.540833,0.7275,0.06345,5511,4850
"2011-10-10",1,4,10,0.570833,0.73375,0.0423042,5117,4886
"2011-10-11",2,4,10,0.566667,0.80875,0.143042,4563,4395
"2011-10-12",3,4,10,0.543333,0.90625,0.24815,2416,2655
"2011-10-13",2,4,10,0.589167,0.896667,0.141787,2913,3977
"2011-10-14",2,4,10,0.550833,0.71625,0.223883,3644,4025
"2011-10-15",1,4,10,0.506667,0.483333,0.258083,5217,5077
"2011-10-16",1,4,10,0.511667,0.486667,0.281717,5041,4884
"2011-10-17",1,4,10,0.534167,0.579583,0.175379,4570,4644
"2011-10-18",2,4,10,0.5325,0.701667,0.110087,4748,4603
"2011-10-19",3,4,10,0.541739,0.895217,0.243339,2424,2723
"2011-10-20",1,4,10,0.475833,0.63625,0.422275,4195,4466
"2011-10-21",1,4,10,0.4275,0.574167,0.221396,4304,4095
"2011-10-22",1,4,10,0.4225,0.629167,0.0926667,4308,4130
"2011-10-23",1,4,10,0.421667,0.74125,0.0995125,4381,3774
"2011-10-24",1,4,10,0.463333,0.772083,0.118792,4187,4167
"2011-10-25",1,4,10,0.471667,0.622917,0.166658,4687,4673
"2011-10-26",2,4,10,0.484167,0.720417,0.148642,3894,4252
"2011-10-27",2,4,10,0.47,0.812917,0.197763,2659,3344
"2011-10-28",2,4,10,0.330833,0.585833,0.229479,3747,3573
"2011-10-29",3,4,10,0.254167,0.8825,0.351371,627,1277
"2011-10-30",1,4,10,0.319167,0.62375,0.176617,3331,3559
"2011-10-31",1,4,10,0.34,0.703333,0.10635,3669,3736
"2011-11-01",1,4,11,0.400833,0.68375,0.135571,4068,3778
"2011-11-02",1,4,11,0.3775,0.71875,0.0820917,4186,3900
"2011-11-03",1,4,11,0.408333,0.702083,0.136817,3974,3895
"2011-11-04",2,4,11,0.403333,0.6225,0.271779,4046,3709
"2011-11-05",1,4,11,0.326667,0.519167,0.189062,3926,3734
"2011-11-06",1,4,11,0.348333,0.734583,0.0920542,3649,3600
"2011-11-07",1,4,11,0.395,0.75875,0.057225,4035,3965
"2011-11-08",1,4,11,0.408333,0.721667,0.0690375,4205,3973
"2011-11-09",1,4,11,0.4,0.758333,0.0621958,4109,3950
"2011-11-10",2,4,11,0.38,0.813333,0.189067,2933,3317
"2011-11-11",1,4,11,0.324167,0.44625,0.314675,3368,3533
"2011-11-12",1,4,11,0.356667,0.552917,0.212062,4067,3726
"2011-11-13",1,4,11,0.440833,0.458333,0.281721,3717,3659
"2011-11-14",1,4,11,0.53,0.587083,0.306596,4486,4298
"2011-11-15",2,4,11,0.53,0.68875,0.199633,4195,4036
"2011-11-16",3,4,11,0.456667,0.93,0.136829,1817,2238
"2011-11-17",2,4,11,0.341667,0.575833,0.305362,3053,3611
"2011-11-18",1,4,11,0.274167,0.41,0.168533,3392,3381
"2011-11-19",1,4,11,0.329167,0.502083,0.224496,3663,3698
"2011-11-20",2,4,11,0.463333,0.684583,0.18595,3520,3555
"2011-11-21",3,4,11,0.4475,0.91,0.138054,2765,2565
"2011-11-22",3,4,11,0.416667,0.9625,0.118792,1607,2054
"2011-11-23",2,4,11,0.440833,0.757917,0.335825,2566,2920
"2011-11-24",1,4,11,0.373333,0.549167,0.167304,1495,3742
"2011-11-25",1,4,11,0.375,0.64375,0.0988958,2792,3446
"2011-11-26",1,4,11,0.375833,0.681667,0.0684208,3068,3800
"2011-11-27",1,4,11,0.459167,0.698333,0.208954,3071,3515
"2011-11-28",1,4,11,0.503478,0.743043,0.142122,3867,4059
"2011-11-29",2,4,11,0.458333,0.830833,0.258092,2914,2978
"2011-11-30",1,4,11,0.325,0.613333,0.271158,3613,3609
"2011-12-01",1,4,12,0.3125,0.524583,0.220158,3727,3562
"2011-12-02",1,4,12,0.314167,0.625833,0.100754,3940,3701
"2011-12-03",1,4,12,0.299167,0.612917,0.0957833,3614,3592
"2011-12-04",1,4,12,0.330833,0.775833,0.0839583,3485,3466
"2011-12-05",2,4,12,0.385833,0.827083,0.0622083,3811,3629
"2011-12-06",3,4,12,0.4625,0.949583,0.232583,2594,2530
"2011-12-07",3,4,12,0.41,0.970417,0.266175,705,1482
"2011-12-08",1,4,12,0.265833,0.58,0.240058,3322,3288
"2011-12-09",1,4,12,0.290833,0.695833,0.0827167,3620,3593
"2011-12-10",1,4,12,0.275,0.5075,0.233221,3190,3275
"2011-12-11",1,4,12,0.220833,0.49,0.0665417,2743,2898
"2011-12-12",1,4,12,0.238333,0.670833,0.06345,3310,3225
"2011-12-13",1,4,12,0.2825,0.59,0.14055,3523,3484
"2011-12-14",2,4,12,0.3175,0.66375,0.0609583,3740,3529
"2011-12-15",2,4,12,0.4225,0.634167,0.268042,3709,3387
"2011-12-16",2,4,12,0.375,0.500417,0.260575,3577,3446
"2011-12-17",2,4,12,0.258333,0.560833,0.243167,2739,2967
"2011-12-18",1,4,12,0.238333,0.58625,0.169779,2431,2900
"2011-12-19",1,4,12,0.276667,0.6375,0.172896,3403,3360
"2011-12-20",2,4,12,0.385833,0.595417,0.0615708,3750,3706
"2011-12-21",2,1,12,0.428333,0.858333,0.2214,2660,2496
"2011-12-22",2,1,12,0.423333,0.7575,0.047275,3068,2873
"2011-12-23",1,1,12,0.373333,0.68625,0.274246,2209,2336
"2011-12-24",1,1,12,0.3025,0.5425,0.190304,1011,1751
"2011-12-25",1,1,12,0.274783,0.681304,0.155091,754,2238
"2011-12-26",1,1,12,0.321739,0.506957,0.239465,1317,1823
"2011-12-27",2,1,12,0.325,0.7625,0.18845,1162,2227
"2011-12-28",1,1,12,0.29913,0.503913,0.293961,2302,2104
"2011-12-29",1,1,12,0.248333,0.574167,0.119412,2423,2319
"2011-12-30",1,1,12,0.311667,0.636667,0.134337,2999,2628
"2011-12-31",1,1,12,0.41,0.615833,0.220154,2485,2336
